No.,URL,タイ語,読み,意味,頻出度,フォーマル度,フラグ
60,https://www.gotthai.net/th_words/1532,กุมภาพันธ์,kumphaaphan,２月,10,5,
61,https://www.gotthai.net/th_words/1533,มีนาคม,miinaakhom,３月,10,5,
62,https://www.gotthai.net/th_words/1535,พฤษภาคม,phrʉ́tsaphaakhom,５月,10,5,
63,https://www.gotthai.net/th_words/1536,มิถุนายน,míthùnaayon,６月,10,5,
64,https://www.gotthai.net/th_words/1537,กรกฎาคม,karákadaakhom,７月,10,5,
65,https://www.gotthai.net/th_words/1538,สิงหาคม,sǐŋhǎakhom,８月,10,5,
66,https://www.gotthai.net/th_words/1539,กันยายน,kanyaayon,９月,10,5,
67,https://www.gotthai.net/th_words/1540,ตุลาคม,tùlaakhom,10月,10,5,
68,https://www.gotthai.net/th_words/1541,พฤศจิกายน,phrʉ́tsacìkaayon,11月,10,5,
69,https://www.gotthai.net/th_words/1542,ธันวาคม,thanwaakhom,12月,10,5,
70,https://www.gotthai.net/th_words/158,มาก,mâak,"多い,大変,非常に,とても",10,5,
71,https://www.gotthai.net/th_words/1589,ตำรวจ,tamrùat,"警察,警察官,警官,お巡りさん",10,5,
72,https://www.gotthai.net/th_words/1621,ใจ,cay,"心,気,息をする,呼吸する",10,5,
73,https://www.gotthai.net/th_words/16694,สีแดง,sǐi dɛɛŋ,赤色<色>,10,5,
74,https://www.gotthai.net/th_words/16695,สีดำ,sǐi dam,黒色<色>,10,5,
75,https://www.gotthai.net/th_words/16697,สีเขียว,sǐi khǐaw,緑色<色>,10,5,
76,https://www.gotthai.net/th_words/175,คิด,khít,"考える,思う,計算する[金額など]",10,5,
77,https://www.gotthai.net/th_words/176,ว่า,wâa,"言う,思う,叱る,文句を言う,小言を言う,責める,〜だと,that<関係代名詞>,運営する,治める",10,5,
78,https://www.gotthai.net/th_words/1881,ๆ,máay yamók,[強調の反復符号],10,5,
79,https://www.gotthai.net/th_words/192,ครั้ง,khráŋ,"〜回,〜度[回数]<類別詞>",10,5,
80,https://www.gotthai.net/th_words/193,ที่,thîi,"場所,〜で,〜にて,〜の,第〜,〜番目[順番],〜人前,〜席<類別詞>,<関係代名詞>,感情に対する理由,理由,小さな器具を表す語,<接尾語>",10,5,
81,https://www.gotthai.net/th_words/202,ดี,dii,"良い,胆のう,Ｄ,D<アルファベット>",10,5,
82,https://www.gotthai.net/th_words/2020,กล้องถ่ายรูป,klɔ̂ŋ thàay rûup,カメラ,10,5,
83,https://www.gotthai.net/th_words/2027,ปั๊มน้ำมัน,pám námman,ガソリンスタンド,10,5,
84,https://www.gotthai.net/th_words/2136,แมว,mɛɛw,"猫,タイ人の一般的なニックネーム[女性]",10,5,
85,https://www.gotthai.net/th_words/2235,รัฐบาล,rátthabaan,政府,10,8,
86,https://www.gotthai.net/th_words/2281,ไหม,máy,"〜か？<疑問>,〜しない？,〜しようよ<勧誘>,絹,シルク,蚕(かいこ)",10,5,
87,https://www.gotthai.net/th_words/2308,ข้อมูล,khɔ̂ɔ muun,"資料,データ,情報",10,5,
88,https://www.gotthai.net/th_words/240,ขวา,khwǎa,右,10,5,
89,https://www.gotthai.net/th_words/241,ซ้าย,sáay,左,10,5,
90,https://www.gotthai.net/th_words/256,ใน,nay,"内の,〜の中に,〜の範囲内で,〜として,〜分の〜[分数の]",10,5,
91,https://www.gotthai.net/th_words/264,ที่นี่,thîi nîi,ここ(広い範囲),10,5,
92,https://www.gotthai.net/th_words/2655,จีน,ciin,中国<国>,10,5,
93,https://www.gotthai.net/th_words/275,พูด,phûut,"話す,言う",10,5,
94,https://www.gotthai.net/th_words/278,หนึ่ง,nʉ̀ŋ,"１<数字>,ある〜",10,5,
95,https://www.gotthai.net/th_words/279,สอง,sɔ̌ɔŋ,２<数字>,10,5,
96,https://www.gotthai.net/th_words/280,สาม,sǎam,３<数字>,10,5,
97,https://www.gotthai.net/th_words/281,สี่,sìi,４<数字>,10,5,
98,https://www.gotthai.net/th_words/282,ห้า,hâa,５<数字>,10,5,
99,https://www.gotthai.net/th_words/283,หก,hòk,"６<数字>,こぼれる,こぼす,落とす",10,5,
100,https://www.gotthai.net/th_words/284,เจ็ด,cèt,７<数字>,10,5,
101,https://www.gotthai.net/th_words/285,แปด,pɛ̀ɛt,"８<数字>,汚す",10,5,
102,https://www.gotthai.net/th_words/286,เก้า,kâaw,９<数字>,10,5,
103,https://www.gotthai.net/th_words/287,สิบ,sìp,10<数字>,10,5,
